4\xfeX axis acceleration,Y axis acceleration,Bicep signal,Shoulder signal,Tricep signal,Forearm signal,Bicep signal derivatives,Shoulder signal derivatives,Tricep signal derivatives,Forearm signal derivatives,Bicep signal rolling averages,Shoulder signal rolling averages,Tricep signal rolling averages,Forearm signal rolling averages,
510,580,106,122,50,190,0,0,0,0,106,122,50,190,
523,582,103,113,44,189,-3.0,-9.0,-6.0,-1.0,104.5,117.5,47.0,189.5,
524,587,154,109,45,194,51.0,-4.0,1.0,5.0,121.0,114.66666666666667,46.333333333333336,191.0,
551,592,161,102,45,287,7.0,-7.0,0.0,93.0,131.0,111.5,46.0,215.0,
562,576,204,102,41,319,43.0,0.0,-4.0,32.0,145.6,109.6,45.0,235.8,
574,553,213,90,36,346,9.0,-12.0,-5.0,27.0,156.83333333333334,106.33333333333333,43.5,254.16666666666666,
571,520,193,88,35,328,-20.0,-2.0,-1.0,-18.0,162.0,103.71428571428571,42.285714285714285,264.7142857142857,
579,503,173,86,31,297,-20.0,-2.0,-4.0,-31.0,163.375,101.5,40.875,268.75,
571,483,148,76,31,279,-25.0,-10.0,0.0,-18.0,161.66666666666666,98.66666666666667,39.77777777777778,269.8888888888889,
567,478,144,79,28,300,-4.0,3.0,-3.0,21.0,159.9,96.7,38.6,272.9,
568,463,128,83,28,331,-16.0,4.0,0.0,31.0,157.0,95.45454545454545,37.63636363636363,278.1818181818182,
571,440,150,93,31,328,22.0,10.0,3.0,-3.0,156.41666666666666,95.25,37.083333333333336,282.3333333333333,
576,430,137,95,30,369,-13.0,2.0,-1.0,41.0,154.92307692307693,95.23076923076923,36.53846153846154,289.0,
579,431,126,95,27,425,-11.0,0.0,-3.0,56.0,152.85714285714286,95.21428571428571,35.857142857142854,298.7142857142857,
582,415,160,100,34,436,34.0,5.0,7.0,11.0,153.33333333333334,95.53333333333333,35.733333333333334,307.8666666666667,
589,400,143,113,38,440,-17.0,13.0,4.0,4.0,152.6875,96.625,35.875,316.125,
574,390,116,113,39,407,-27.0,0.0,1.0,-33.0,150.52941176470588,97.58823529411765,36.05882352941177,321.47058823529414,
562,396,120,107,47,474,4.0,-6.0,8.0,67.0,148.83333333333334,98.11111111111111,36.666666666666664,329.94444444444446,
548,419,112,105,61,420,-8.0,-2.0,14.0,-54.0,146.89473684210526,98.47368421052632,37.94736842105263,334.6842105263158,
522,418,86,145,61,461,-26.0,40.0,0.0,41.0,143.85,100.8,39.1,341.0,
493,411,65,144,58,370,-21.0,-1.0,-3.0,-91.0,140.0952380952381,102.85714285714286,40.0,342.3809523809524,
473,412,68,163,65,301,3.0,19.0,7.0,-69.0,136.8181818181818,105.5909090909091,41.13636363636363,340.5,
460,438,57,160,66,302,-11.0,-3.0,1.0,1.0,133.34782608695653,107.95652173913044,42.21739130434783,338.82608695652175,
456,453,55,161,66,278,-2.0,1.0,0.0,-24.0,130.08333333333334,110.16666666666667,43.208333333333336,336.2916666666667,
470,457,48,185,76,246,-7.0,24.0,10.0,-32.0,126.8,113.16,44.52,332.68,
441,510,51,173,65,233,3.0,-12.0,-11.0,-13.0,123.88461538461539,115.46153846153847,45.30769230769231,328.84615384615387,
454,551,45,142,61,223,-6.0,-31.0,-4.0,-10.0,120.96296296296296,116.44444444444444,45.888888888888886,324.9259259259259,
485,565,99,125,55,217,54.0,-17.0,-6.0,-6.0,120.17857142857143,116.75,46.214285714285715,321.07142857142856,
474,576,88,105,56,273,-11.0,-20.0,1.0,56.0,119.06896551724138,116.34482758620689,46.55172413793103,319.41379310344826,
518,561,136,97,49,247,48.0,-8.0,-7.0,-26.0,119.63333333333334,115.7,46.63333333333333,317.0,
515,556,149,89,50,234,13.0,-8.0,1.0,-13.0,120.58064516129032,114.83870967741936,46.74193548387097,314.3225806451613,
514,561,171,91,48,229,22.0,2.0,-2.0,-5.0,122.15625,114.09375,46.78125,311.65625,
