\xf1X axis acceleration,Y axis acceleration,Bicep signal,Shoulder signal,Tricep signal,Forearm signal
540,484,6,31,24,14
540,483,5,32,25,14
541,483,5,31,22,14
540,483,6,32,21,14
542,483,5,34,21,14
539,483,6,33,20,14
541,483,5,32,19,13
540,483,5,30,17,13
540,484,6,32,18,13
540,484,5,33,21,12
540,483,5,32,21,13
539,484,5,31,22,13
540,483,5,33,22,13
539,482,5,33,22,13
540,484,5,32,24,13
540,483,5,34,20,12
540,483,5,35,20,12
539,483,5,34,21,13
540,483,6,34,25,13
540,483,5,36,27,13
541,484,5,34,26,12
539,483,6,32,27,13
540,484,5,34,30,12
542,483,5,32,28,13
540,483,5,29,31,12
540,483,5,28,30,13
540,483,5,31,27,12
541,483,5,35,31,14
540,483,5,31,25,13
540,483,5,30,23,13
539,483,6,33,29,14
541,483,6,34,24,13
540,482,5,30,21,13
541,483,5,29,22,13
540,482,6,29,22,13
540,483,5,31,20,14
541,483,5,28,23,13
540,483,5,29,29,13
540,483,4,27,25,13
540,484,5,25,22,13
540,484,5,27,21,12
540,483,5,29,25,12
540,482,5,26,27,13
538,484,5,25,31,13
540,483,5,29,32,12
539,483,5,28,36,12
540,483,5,27,42,14
540,483,6,28,47,13
540,482,6,26,50,12
540,482,5,26,54,13
541,483,6,24,54,13
540,483,6,28,51,13
541,483,5,32,59,12
540,482,5,29,62,13
540,483,5,30,59,13
540,483,5,34,60,13
541,483,5,32,64,12
540,483,5,29,61,13
541,483,5,36,55,13
540,483,5,32,58,14
540,483,5,29,58,14
540,482,5,34,56,14
540,483,5,37,53,16
541,483,5,38,56,17
540,484,6,32,59,16
540,483,5,30,55,15
539,483,6,35,52,15
539,483,5,34,54,14
540,483,6,31,55,14
540,482,6,31,52,14
540,483,5,32,54,13
540,483,6,31,54,14
540,484,6,31,54,13
540,483,5,30,51,13
541,483,6,31,47,13
540,482,6,34,42,13
541,483,6,31,39,13
541,483,6,27,35,13
540,482,6,28,34,13
541,481,5,35,33,13
541,483,6,35,33,13
540,483,5,31,35,13
539,482,6,31,33,13
541,483,5,32,31,13
541,483,5,31,29,13
540,481,6,29,32,14
540,483,5,28,31,13
540,483,5,36,30,13
540,484,5,36,35,12
539,484,5,34,33,14
540,483,5,34,34,12
540,482,6,31,37,13
540,483,6,30,37,12
540,483,6,29,39,12
540,484,5,31,38,13
540,483,6,29,37,12
541,483,7,32,34,13
540,483,6,36,37,12
540,483,6,34,39,13
540,483,5,34,42,13
542,483,5,33,49,12
541,483,6,34,56,13
540,483,5,29,62,13
540,483,6,32,61,13
541,484,6,31,62,13
540,483,5,34,60,14
541,483,5,32,66,14
540,483,5,29,59,15
540,483,5,30,52,16
540,483,5,35,51,17
540,483,5,34,47,16
540,483,5,37,52,14
540,483,5,37,48,14
540,483,5,36,50,15
540,483,5,32,54,14
540,483,5,36,50,14
540,483,5,33,54,13
540,483,5,33,53,14
540,484,5,29,52,13
540,483,5,32,51,13
541,484,6,31,53,13
540,482,6,28,54,13
541,483,5,29,47,12
540,483,5,30,49,13
540,483,5,34,43,13
541,483,5,31,45,12
542,484,5,31,40,14
541,482,5,31,41,13
540,481,5,32,39,13
541,482,5,31,36,13
540,483,6,29,43,14
541,483,5,33,38,14
540,483,5,34,37,14
541,483,6,35,44,14
540,482,5,33,50,15
540,482,5,33,48,15
540,484,6,30,48,14
539,483,4,31,43,14
540,483,5,30,48,14
540,483,6,36,42,14
540,481,6,39,41,13
540,483,6,38,37,13
540,483,6,35,40,14
540,483,6,35,43,15
541,482,6,35,45,15
540,483,5,33,45,14
540,483,6,34,50,14
541,484,5,40,53,13
540,482,6,41,49,14
541,483,6,44,48,13
540,482,5,39,46,13
540,482,6,38,46,14
541,483,6,37,45,13
540,483,5,33,52,13
541,483,5,33,44,13
540,483,5,35,42,13
540,482,5,34,44,14
540,481,6,33,39,15
540,482,6,31,37,15
540,482,5,31,36,14
540,484,6,32,34,14
540,484,4,31,36,13
538,483,5,33,30,13
539,482,5,35,27,13
541,483,5,37,25,13
540,483,5,41,29,13
539,483,5,39,34,12
540,482,5,37,31,13
539,484,6,40,31,12
539,483,5,38,34,13
540,483,5,42,33,13
540,483,5,39,35,14
539,482,5,40,37,14
541,482,6,41,35,14
541,483,6,42,31,16
540,482,5,40,36,17
540,482,6,42,37,15
541,482,5,41,36,15
