8\xfcX axis acceleration,Y axis acceleration,Z axis acceleration,Bicep signal,Shoulder signal,Pectoral signal
347,339,418,12,26,51
346,340,418,13,24,45
346,340,419,13,28,48
346,339,418,13,29,50
348,339,419,12,27,53
347,340,416,12,26,53
348,340,417,13,26,58
348,340,418,11,26,57
347,340,417,13,25,60
345,341,418,15,25,62
345,339,417,13,25,63
346,338,418,13,23,60
347,339,418,14,24,57
348,340,417,13,23,53
347,340,417,13,24,52
347,340,418,12,25,48
347,339,418,13,24,49
347,340,419,13,23,48
347,341,418,13,25,45
347,339,419,13,27,45
346,338,418,12,25,43
348,339,416,13,28,41
348,339,417,12,27,42
347,339,419,11,26,39
347,339,417,11,25,41
346,340,418,13,26,40
347,340,418,12,24,38
347,338,418,13,25,38
347,340,418,12,25,37
346,340,417,13,26,38
348,340,419,13,25,41
347,339,418,10,24,43
348,340,418,12,24,43
346,340,418,12,23,42
348,339,418,12,24,38
347,337,420,12,22,37
347,340,417,13,23,35
348,340,418,12,21,42
348,339,419,12,22,42
347,340,418,13,20,47
345,339,418,14,20,44
345,338,416,13,22,45
347,337,417,13,23,46
347,337,418,13,22,47
347,339,418,11,20,50
347,340,418,13,22,50
347,340,418,13,22,52
347,341,418,12,25,55
347,339,419,13,24,55
347,340,419,13,24,58
347,337,419,14,25,54
347,338,419,13,24,52
347,339,417,13,23,48
347,337,416,12,22,45
347,339,418,12,25,45
348,339,418,13,24,45
346,338,419,14,23,41
346,339,418,13,24,41
347,337,418,14,23,39
347,337,419,12,23,36
348,339,417,13,23,35
348,338,417,13,23,31
348,339,419,12,22,29
347,338,418,13,23,29
346,338,418,14,22,27
346,339,419,13,23,27
348,339,419,13,23,25
347,338,418,14,24,23
347,339,417,13,25,24
348,339,417,13,26,28
348,339,419,11,30,30
347,339,418,13,30,31
348,338,418,12,30,26
348,338,418,12,31,23
347,337,418,13,28,21
347,338,419,13,27,20
347,339,418,13,28,28
347,338,419,13,26,41
347,339,419,12,26,50
347,338,418,14,26,44
346,338,418,12,26,41
348,339,419,13,26,41
348,338,418,13,26,42
347,338,418,13,24,40
